Name,min,max,volatility
Jennifer,5,63792,0.9999216202658641
Lisa,5,60446,0.9999172815405486
Patricia,5,56574,0.9999116201788808
Jason,5,55949,0.9999106328978177
Ashley,5,55262,0.9999095219137925
Debra,5,50635,0.9999012540732695
Jessica,6,56239,0.9998933124699941
Karen,5,40667,0.9998770501881132
Gary,5,38838,0.9998712601060816
Brittany,5,38007,0.9998684452863946
